id,distributor,page,raw,description,part_number,price,make,model,year_range,category,updated_at
2d92e2e57d,Listado General Jefcar 2026,1,54668-4KH0A TERMINAL STABILIZER LINK NISSAN NP300 FRONTIER D23/14-22 LH B/. 4.95,TERMINAL STABILIZER LINK NISSAN NP300 FRONTIER D23/14-22 LH,54668-4KH0A,4.95,Nissan,,,,2026-03-08T13:15:29.710191
bd5ef133b4,Listado General Jefcar 2026,1,48820-0D020/52030 TERMINAL STABILIZER LINK TOYOTA YARIS-COROLLA 05-19 L/R B/. 4 .25,TERMINAL STABILIZER LINK TOYOTA YARIS-COROLLA 05-19 L/R,48820-0D020/52030,4.0,Toyota,,,,2026-03-08T13:15:29.710209
1230067d91,Listado General Jefcar 2026,1,54618-50Y00 TERMINAL STABILIZER LINK NISSAN SENTRA B13-B14-B15 92-08 L/R B/. 4.25,TERMINAL STABILIZER LINK NISSAN SENTRA B13-B14-B15 92-08 L/R,54618-50Y00,4.25,Nissan,,,,2026-03-08T13:15:29.710229
8c14238cd1,Listado General Jefcar 2026,1,54830-1E000 TERMINAL STABILIZER LINK HYUNDAI ACCENT 05-10 LH B/. 4.25,TERMINAL STABILIZER LINK HYUNDAI ACCENT 05-10 LH,54830-1E000,4.25,Hyundai,,,,2026-03-08T13:15:29.710247
2a0b7fffd1,Listado General Jefcar 2026,1,54840-1E000 TERMINAL STABILIZER LINK HYUNDAI ACCENT 05-10 RH B/. 4.25,TERMINAL STABILIZER LINK HYUNDAI ACCENT 05-10 RH,54840-1E000,4.25,Hyundai,,,,2026-03-08T13:15:29.710264
9c70ab0a6c,Listado General Jefcar 2026,1,54830-0U000 TERMINAL STABILIZER LINK HYUNDAI ACCENT/ELANTRA/RIO 11-16 L/R B/. 4.25,TERMINAL STABILIZER LINK HYUNDAI ACCENT/ELANTRA/RIO 11-16 L/R,54830-0U000,4.25,Hyundai,,,,2026-03-08T13:15:29.710281
cda4dd0f20,Listado General Jefcar 2026,1,54830-1J000 TERMINAL STABILIZER LINK KIA PICANTO 11-17/HYUNDAI I20 08-15 LH B/. 4.25,TERMINAL STABILIZER LINK KIA PICANTO 11-17/HYUNDAI I20 08-15 LH,54830-1J000,4.25,Kia,,,,2026-03-08T13:15:29.710299
d04741f8cf,Listado General Jefcar 2026,1,54840-1J000 TERMINAL STABILIZER LINK KIA PICANTO 11-17/HYUNDAI I20 08-15 RH B/. 4.25,TERMINAL STABILIZER LINK KIA PICANTO 11-17/HYUNDAI I20 08-15 RH,54840-1J000,4.25,Kia,,,,2026-03-08T13:15:29.710320
2dae9db066,Listado General Jefcar 2026,1,54618-ED000 TERMINAL STABILIZER LINK NISSAN TIIDA 04-12/MARCH 02-17 L/R B/. 4.25,TERMINAL STABILIZER LINK NISSAN TIIDA 04-12/MARCH 02-17 L/R,54618-ED000,4.25,Nissan,,,,2026-03-08T13:15:29.710338
bdb233e7de,Listado General Jefcar 2026,1,48820-42030 TERMINAL STABILIZER LINK TOYOTA COROLLA-RAV4-PRIUS 06-13 L/R B/. 4.25,TERMINAL STABILIZER LINK TOYOTA COROLLA-RAV4-PRIUS 06-13 L/R,48820-42030,4.25,Toyota,,,,2026-03-08T13:15:29.710355
72cab6c3c6,Listado General Jefcar 2026,1,54830-2E100/CLKH-23 TERMINAL STABILIZER LINK HYUNDAI TUCSON/KIA SPORTAGE 04-10 L/R B/. 4 .25,TERMINAL STABILIZER LINK HYUNDAI TUCSON/KIA SPORTAGE 04-10 L/R,54830-2E100/CLKH-23,4.0,Hyundai,,,,2026-03-08T13:15:29.710373
